district_name,division,performance,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
JALNA,Aurangabad,3-5_english,,10.4,,6.5,,,,,
KOLHAPUR,Pune,3-5_english,,12.9,,16.7,,,,,
LATUR,Aurangabad,3-5_english,,21,,19.5,,,,,
MUMBAI,Konkan,3-5_english,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,3-5_english,,,,,,,,,
NAGPUR,Nagpur,3-5_english,,8.4,,32.8,,,,,
NANDED,Aurangabad,3-5_english,,10.2,,7.8,,,,,
NANDURBAR,Nashik,3-5_english,,15.2,,,,,,,
NASHIK,Nashik,3-5_english,,4.9,,5.3,,,,,
OSMANABAD,Aurangabad,3-5_english,,22.8,,35.9,,,,,
PARBHANI,Aurangabad,3-5_english,,16.9,,6.4,,,,,
PUNE,Pune,3-5_english,,15.5,,15.6,,,,,
RAIGARH (MAHARASHTRA),Konkan,3-5_english,,43.5,,38.1,,,,,
RATNAGIRI,Konkan,3-5_english,,11.3,,27.8,,,,,
SANGLI,Pune,3-5_english,,10.3,,10.1,,,,,
SATARA,Pune,3-5_english,,13,,28,,,,,
SINDHUDURG,Konkan,3-5_english,,31.7,,32.3,,,,,
SOLAPUR,Pune,3-5_english,,31.1,,43.9,,,,,
THANE,Konkan,3-5_english,,9.2,,8.3,,,,,
WARDHA,Nagpur,3-5_english,,12.5,,8.7,,,,,
WASHIM,Amravati,3-5_english,,19.3,,60.4,,,,,
YAVATMAL,Amravati,3-5_english,,10.2,,13,,,,,
AHMADNAGAR,Nashik,3-5_time,,,61,,,,,,
AKOLA,Amravati,3-5_time,,,44.5,,,,,,
AMRAVATI,Amravati,3-5_time,,,29.4,,,,,,
AURANGABAD (MAHARASHTRA),Aurangabad,3-5_time,,,59.1,,,,,,
BHANDARA,Nagpur,3-5_time,,,70.2,,,,,,
BID,Aurangabad,3-5_time,,,89.4,,,,,,
BULDANA,Amravati,3-5_time,,,94.4,,,,,,
CHANDRAPUR,Nagpur,3-5_time,,,47.3,,,,,,
DHULE,Nashik,3-5_time,,,50.1,,,,,,
GADCHIROLI,Nagpur,3-5_time,,,41.3,,,,,,
GONDIYA,Nagpur,3-5_time,,,43.2,,,,,,
HINGOLI,Aurangabad,3-5_time,,,69.9,,,,,,
JALGAON,Nashik,3-5_time,,,79.5,,,,,,
JALNA,Aurangabad,3-5_time,,,94.6,,,,,,
KOLHAPUR,Pune,3-5_time,,,57.5,,,,,,
LATUR,Aurangabad,3-5_time,,,57.3,,,,,,
MUMBAI,Konkan,3-5_time,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,3-5_time,,,,,,,,,
NAGPUR,Nagpur,3-5_time,,,38.8,,,,,,
NANDED,Aurangabad,3-5_time,,,48.4,,,,,,
NANDURBAR,Nashik,3-5_time,,,47.6,,,,,,
NASHIK,Nashik,3-5_time,,,45.8,,,,,,
OSMANABAD,Aurangabad,3-5_time,,,65.2,,,,,,
PARBHANI,Aurangabad,3-5_time,,,63.4,,,,,,
PUNE,Pune,3-5_time,,,55.3,,,,,,
RAIGARH (MAHARASHTRA),Konkan,3-5_time,,,94.9,,,,,,
RATNAGIRI,Konkan,3-5_time,,,70.1,,,,,,
SANGLI,Pune,3-5_time,,,56.6,,,,,,
SATARA,Pune,3-5_time,,,58,,,,,,
SINDHUDURG,Konkan,3-5_time,,,77.3,,,,,,
SOLAPUR,Pune,3-5_time,,,46.5,,,,,,
THANE,Konkan,3-5_time,,,82.4,,,,,,
WARDHA,Nagpur,3-5_time,,,50.3,,,,,,
WASHIM,Amravati,3-5_time,,,41.9,,,,,,
YAVATMAL,Amravati,3-5_time,,,42.9,,,,,,
AHMADNAGAR,Nashik,3-5_currency,,,83,,,,,,
AKOLA,Amravati,3-5_currency,,,83,,,,,,
AMRAVATI,Amravati,3-5_currency,,,83,,,,,,
AURANGABAD (MAHARASHTRA),Aurangabad,3-5_currency,,,83,,,,,,
BHANDARA,Nagpur,3-5_currency,,,83,,,,,,
BID,Aurangabad,3-5_currency,,,83,,,,,,
BULDANA,Amravati,3-5_currency,,,83,,,,,,
CHANDRAPUR,Nagpur,3-5_currency,,,83,,,,,,
DHULE,Nashik,3-5_currency,,,83,,,,,,
GADCHIROLI,Nagpur,3-5_currency,,,83,,,,,,
GONDIYA,Nagpur,3-5_currency,,,83,,,,,,
HINGOLI,Aurangabad,3-5_currency,,,83,,,,,,
JALGAON,Nashik,3-5_currency,,,83,,,,,,
JALNA,Aurangabad,3-5_currency,,,83,,,,,,
KOLHAPUR,Pune,3-5_currency,,,83,,,,,,
LATUR,Aurangabad,3-5_currency,,,83,,,,,,
MUMBAI,Konkan,3-5_currency,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,3-5_currency,,,,,,,,,
NAGPUR,Nagpur,3-5_currency,,,83,,,,,,
NANDED,Aurangabad,3-5_currency,,,83,,,,,,
NANDURBAR,Nashik,3-5_currency,,,83,,,,,,
NASHIK,Nashik,3-5_currency,,,83,,,,,,
OSMANABAD,Aurangabad,3-5_currency,,,83,,,,,,
PARBHANI,Aurangabad,3-5_currency,,,83,,,,,,
PUNE,Pune,3-5_currency,,,83,,,,,,
RAIGARH (MAHARASHTRA),Konkan,3-5_currency,,,83,,,,,,
RATNAGIRI,Konkan,3-5_currency,,,83,,,,,,
SANGLI,Pune,3-5_currency,,,83,,,,,,
SATARA,Pune,3-5_currency,,,83,,,,,,
SINDHUDURG,Konkan,3-5_currency,,,83,,,,,,
SOLAPUR,Pune,3-5_currency,,,83,,,,,,
THANE,Konkan,3-5_currency,,,83,,,,,,
WARDHA,Nagpur,3-5_currency,,,83,,,,,,
WASHIM,Amravati,3-5_currency,,,83,,,,,,
YAVATMAL,Amravati,3-5_currency,,,83,,,,,,
